         ps       /tb_lut_tanh/r_in              
          delta           /tb_lut_tanh/r_out     
     287000  +1            10100000 11000001 
     288000  +1            10100001 11000001 
     289000  +1            10100010 11000001 
     290000  +1            10100011 11000001 
     291000  +1            10100100 11000001 
     292000  +1            10100101 11000001 
     293000  +1            10100110 11000001 
     294000  +1            10100111 11000001 
     295000  +1            10101000 11000001 
     296000  +1            10101001 11000001 
     297000  +1            10101010 11000001 
     298000  +1            10101011 11000001 
     299000  +1            10101100 11000001 
     300000  +1            10101101 11000001 
     301000  +1            10101110 11000001 
     302000  +1            10101111 11000001 
     303000  +1            10110000 11000001 
     304000  +1            10110001 11000001 
     305000  +1            10110010 11000001 
     306000  +1            10110011 11000001 
     307000  +1            10110100 11000001 
     307000  +4            10110100 11000010 
     308000  +1            10110101 11000010 
     309000  +1            10110110 11000010 
     310000  +1            10110111 11000010 
     311000  +1            10111000 11000010 
     312000  +1            10111001 11000010 
     313000  +1            10111010 11000010 
     314000  +1            10111011 11000010 
     315000  +1            10111100 11000010 
     316000  +1            10111101 11000010 
     317000  +1            10111110 11000010 
     318000  +1            10111111 11000010 
     318000  +4            10111111 11000011 
     319000  +1            11000000 11000011 
     320000  +1            11000001 11000011 
     321000  +1            11000010 11000011 
     322000  +1            11000011 11000011 
     323000  +1            11000100 11000011 
     324000  +1            11000101 11000011 
     324000  +4            11000101 11000100 
     325000  +1            11000110 11000100 
     326000  +1            11000111 11000100 
     327000  +1            11001000 11000100 
     328000  +1            11001001 11000100 
     329000  +1            11001010 11000100 
     329000  +4            11001010 11000101 
     330000  +1            11001011 11000101 
     331000  +1            11001100 11000101 
     332000  +1            11001101 11000101 
     333000  +1            11001110 11000101 
     333000  +4            11001110 11000110 
     334000  +1            11001111 11000110 
     335000  +1            11010000 11000110 
     336000  +1            11010001 11000110 
     336000  +4            11010001 11000111 
     337000  +1            11010010 11000111 
     338000  +1            11010011 11000111 
     338000  +4            11010011 11001000 
     339000  +1            11010100 11001000 
     340000  +1            11010101 11001000 
     341000  +1            11010110 11001000 
     341000  +4            11010110 11001001 
     342000  +1            11010111 11001001 
     343000  +1            11011000 11001001 
     343000  +4            11011000 11001010 
     344000  +1            11011001 11001010 
     344000  +4            11011001 11001011 
     345000  +1            11011010 11001011 
     346000  +1            11011011 11001011 
     346000  +4            11011011 11001100 
     347000  +1            11011100 11001100 
     348000  +1            11011101 11001100 
     349000  +1            11011110 11001100 
     349000  +4            11011110 11001101 
     350000  +1            11011111 11001101 
     350000  +4            11011111 11001110 
     351000  +1            11100000 11001110 
     351000  +4            11100000 11001111 
     352000  +1            11100001 11001111 
     353000  +1            11100010 11001111 
     353000  +4            11100010 11010000 
     354000  +1            11100011 11010000 
     354000  +4            11100011 11010001 
     355000  +1            11100100 11010001 
     355000  +4            11100100 11010010 
     356000  +1            11100101 11010010 
     356000  +4            11100101 11010011 
     357000  +1            11100110 11010011 
     357000  +4            11100110 11010100 
     358000  +1            11100111 11010100 
     358000  +4            11100111 11010101 
     359000  +1            11101000 11010101 
     359000  +4            11101000 11010110 
     360000  +1            11101001 11010110 
     360000  +4            11101001 11011001 
     361000  +1            11101010 11011001 
     361000  +4            11101010 11011010 
     362000  +1            11101011 11011010 
     362000  +4            11101011 11011011 
     363000  +1            11101100 11011011 
     363000  +4            11101100 11011101 
